song_id,keyword,lyric_time_sec,beat_index,time_sec,sign_id,difficulty,
cherryblossom,그대,3.2,4,3.29723356,,mid,
cherryblossom,오늘,24.4,46,24.40417234,,mid,
cherryblossom,우리,25.36,48,25.41424036,,mid,
cherryblossom,거리,29.86,57,29.89569161,,mid,
cherryblossom,밤,32.92,59,30.90575964,,mid,
cherryblossom,노래,34.76,67,34.91120181,,mid,
cherryblossom,오예,39.46,72,37.40734694,,mid,대체 수어(좋다)
cherryblossom,그대,42.46,78,40.40272109,,mid,
cherryblossom,둘,43.92,85,43.87410431,,mid,
cherryblossom,손,44.96,87,44.89578231,,mid,
cherryblossom,잡다,45.45333333,88,45.40662132,,mid,대체 수어(잡다)
cherryblossom,알다,49.33,92,47.40353741,,mid,대체 수어(알다)
cherryblossom,둘,52.26,98,50.41052154,,mid,
cherryblossom,봄바람,55.94,103,52.89505669,,mid,
cherryblossom,잎,59.9,117,59.90748299,,mid,
cherryblossom,거리,63.52,124,63.40208617,,mid,
cherryblossom,봄바람,72.08,137,69.90367347,,mid,
cherryblossom,거리,79.53,156,79.4122449,,mid,
cherryblossom,둘,83.86,165,83.90530612,,mid,
cherryblossom,그대,104.56,206,104.3969161,,mid,
cherryblossom,우리,105.54,208,105.3257143,,mid,
cherryblossom,이제,106.22,210,106.3009524,,mid,
cherryblossom,손,107.22,212,107.2297506,,mid,
cherryblossom,잡다,107.66,213,107.7754195,,mid,대체 수어(잡다)
cherryblossom,마침,112.94,219,110.8985034,,mid,https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=13309406&menuNo=200026#:~:text=%ED%95%9C%EA%B5%AD%EC%A0%80%EC%9E%91%EA%B6%8C%EC%9C%84%EC%9B%90%ED%9A%8C%20%EC%9D%98%20%22%EC%9D%BC%EC%83%81%EC%83%9D%ED%99%9C_%EC%88%98%EC%96%B4_%EA%B8%B0%ED%83%80_%EB%A7%88%EC%B9%A8%2C%EB%94%B1%20%EB%A7%9E%EB%8B%A4%2C%EC%95%8C%EB%A7%9E%EB%8B%A4%22%20%EC%9D%80%20CC%20BY%20%EB%9D%BC%EC%9D%B4%EC%84%A0%EC%8A%A4%EB%A1%9C%20%EC%A0%9C%EA%B3%B5%EB%90%A9%EB%8B%88%EB%8B%A4.%20%EA%B3%B5%ED%91%9C%EB%85%84%EB%8F%84.
cherryblossom,사랑,114.08,225,113.9170975,,mid,
cherryblossom,노래,114.76,227,114.9039456,,mid,
cherryblossom,사랑,120,237,119.9078458,,mid,
cherryblossom,그대,120.76,239,120.8946939,,mid,
cherryblossom,손,124.9,247,124.9001361,,mid,
cherryblossom,잡다,125.4866667,248,125.3993651,,mid,대체 수어(잡다)
cherryblossom,거리,129.32,256,129.4048073,,mid,
cherryblossom,둘,133.22,258,130.4032653,,mid,
cherryblossom,봄바람,136.5,266,134.4087075,,mid,
cherryblossom,벚꽃,139.12,275,138.9017687,,mid,
cherryblossom,잎,139.87,277,139.9002268,,mid,
cherryblossom,거리,143.52,284,143.4064399,,mid,
cherryblossom,잎,155.94,309,155.9103855,,mid,
cherryblossom,불다,167.76,333,167.9034921,,mid,대체 수어(불다)
cherryblossom,기분,170.23,338,170.4112472,,mid,
cherryblossom,탓,171.53,340,171.3748753,,mid,https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=13309373&menuNo=200020
cherryblossom,바람,174.27,346,174.4166893,,mid,
cherryblossom,불다,175.8,349,175.9027664,,mid,대체 수어(불다)
cherryblossom,기분,187.86,359,180.9066667,,mid,
cherryblossom,탓,188.86,359,180.9066667,,mid,https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=13309373&menuNo=200020
cherryblossom,바람,192.28,378,190.4152381,,mid,
cherryblossom,불다,193.74,381,191.9013152,,mid,대체 수어(불다)
cherryblossom,그대,194.1,385,193.8982313,,mid,
cherryblossom,너,195.94,389,195.8835374,,mid,
cherryblossom,모습,196.28,390,196.3943764,,mid,
cherryblossom,자꾸,197.24,392,197.3812245,,mid,
cherryblossom,겹치다,198.58,392,197.3812245,,mid,대체 수어(겹치다)
cherryblossom,사랑,200.87,399,200.8990476,,mid,
cherryblossom,많다,203.13,403,202.9307937,,mid,
cherryblossom,알다,204.05,405,203.9060317,,mid,대체 수어(알다)
cherryblossom,친구,205.57,409,205.7404082,,mid,
cherryblossom,벚꽃,209.64,416,209.432381,,mid,
cherryblossom,잎,210.46,418,210.3727891,,mid,
cherryblossom,많다,211.28,420,211.3944671,,mid,
cherryblossom,좋다,211.9,421,211.8936961,,mid,
cherryblossom,바람,216.49,426,214.4014512,,mid,
cherryblossom,잎,219.85,437,219.9045805,,mid,
cherryblossom,거리,223.56,444,223.4107937,,mid,
cherryblossom,봄바람,232.6,458,230.4,,mid,
cherryblossom,잎,235.87,469,235.9031293,,mid,
cherryblossom,거리,239.52,476,239.4093424,,mid,
cherryblossom,오예,246.93,487,244.9008617,,mid,
cherryblossom,그대,248.71,491,246.8977778,,mid,
cherryblossom,그대,250.4,494,248.4070748,,mid,
cherryblossom,그대,252.67,497,249.8002721,,mid,
cherryblossom,그대,254.29,500,251.3095692,,mid,
cherryblossom,그대,255.72725,503,252.9001361,,mid,
