time_sec,drum_type,motor_id,intensity,duration_ms,motor1,motor2
8.4521,snare,2,40,100,0,40
8.9397,hihat,1,40,60,40,0
9.4505,snare,2,40,100,0,40
9.9381,tom,2,255,140,0,255
10.449,snare,2,40,100,0,40
10.9366,tom,2,40,140,0,40
11.4474,snare,2,40,100,0,40
11.9351,tom,2,40,140,0,40
12.4459,snare,2,40,100,0,40
12.9567,tom,2,255,140,0,255
13.4444,snare,2,40,100,0,40
13.9552,tom,2,40,140,0,40
14.4428,snare,2,40,100,0,40
14.9304,tom,2,255,140,0,255
15.4413,snare,2,255,100,0,255
15.9521,kick,1,40,120,40,0
16.4397,snare,2,40,100,0,40
16.7648,snare,2,40,100,0,40
17.4382,snare,2,40,100,0,40
17.949,tom,2,40,140,0,40
18.4366,snare,2,40,100,0,40
18.9475,tom,2,40,140,0,40
19.4351,snare,2,40,100,0,40
19.9459,tom,2,40,140,0,40
20.4336,snare,2,40,100,0,40
20.9444,tom,2,40,140,0,40
21.432,snare,2,40,100,0,40
21.9429,tom,2,40,140,0,40
22.4305,snare,2,40,100,0,40
22.9413,tom,2,40,140,0,40
23.4289,snare,2,40,100,0,40
23.9398,tom,2,40,140,0,40
24.2649,snare,2,40,100,0,40
24.9382,hihat,1,40,60,40,0
25.4491,snare,2,40,100,0,40
26.4475,snare,2,40,100,0,40
26.9351,tom,2,40,140,0,40
27.446,snare,2,40,100,0,40
28.4444,snare,2,40,100,0,40
28.9321,tom,2,40,140,0,40
29.4429,snare,2,40,100,0,40
29.9305,tom,2,40,140,0,40
30.4414,snare,2,40,100,0,40
30.929,tom,2,40,140,0,40
31.4398,snare,2,40,100,0,40
31.9507,tom,2,40,140,0,40
32.4383,snare,2,40,100,0,40
32.9491,tom,2,40,140,0,40
33.4367,snare,2,40,100,0,40
33.9476,cymbal,1,40,180,40,0
34.4352,snare,2,40,100,0,40
34.946,kick,1,40,120,40,0
35.4337,snare,2,40,100,0,40
36.4321,snare,2,40,100,0,40
36.9429,kick,1,40,120,40,0
37.4306,snare,2,40,100,0,40
37.9414,tom,2,40,140,0,40
38.429,snare,2,40,100,0,40
38.9399,tom,2,40,140,0,40
39.4275,snare,2,40,100,0,40
39.9383,tom,2,40,140,0,40
40.4492,snare,2,40,100,0,40
40.9368,kick,1,40,120,40,0
41.4244,snare,2,40,100,0,40
42.2835,kick,1,40,120,40,0
42.9337,tom,2,40,140,0,40
43.4445,snare,2,40,100,0,40
43.9322,hihat,1,40,60,40,0
44.2805,kick,1,40,120,40,0
44.9306,tom,2,40,140,0,40
45.4415,snare,2,40,100,0,40
45.9291,tom,2,40,140,0,40
46.4399,snare,2,40,100,0,40
46.9507,tom,2,40,140,0,40
47.4384,snare,2,40,100,0,40
47.9492,tom,2,40,140,0,40
48.4368,snare,2,40,100,0,40
48.9477,tom,2,40,140,0,40
49.4353,snare,2,40,100,0,40
49.9461,cymbal,1,40,180,40,0
50.4337,snare,2,40,100,0,40
50.9446,kick,1,40,120,40,0
51.4322,snare,2,40,100,0,40
51.943,cymbal,1,40,180,40,0
52.4539,snare,2,40,100,0,40
52.9415,tom,2,40,140,0,40
53.4523,snare,2,40,100,0,40
53.94,kick,1,40,120,40,0
54.265,snare,2,40,100,0,40
54.9384,snare,2,40,100,0,40
56.4245,snare,2,40,100,0,40
56.9353,hihat,1,40,60,40,0
57.4462,snare,2,40,100,0,40
57.9338,tom,2,40,140,0,40
58.4446,snare,2,40,100,0,40
58.9322,tom,2,40,140,0,40
59.4431,snare,2,40,100,0,40
59.9539,tom,2,40,140,0,40
60.4415,snare,2,40,100,0,40
60.9524,tom,2,40,140,0,40
61.44,snare,2,40,100,0,40
61.9508,tom,2,40,140,0,40
62.4152,snare,2,40,100,0,40
62.9493,tom,2,40,140,0,40
63.4369,snare,2,40,100,0,40
63.9478,tom,2,40,140,0,40
64.4354,snare,2,40,100,0,40
64.9462,hihat,1,40,60,40,0
65.4338,snare,2,40,100,0,40
65.9447,kick,1,255,120,255,0
66.4555,snare,2,40,100,0,40
66.9431,tom,2,40,140,0,40
67.4307,snare,2,40,100,0,40
67.9416,tom,2,255,140,0,255
68.4292,snare,2,40,100,0,40
68.94,tom,2,40,140,0,40
69.4277,snare,2,40,100,0,40
69.9385,tom,2,40,140,0,40
70.4261,snare,2,40,100,0,40
70.937,tom,2,40,140,0,40
71.4478,snare,2,40,100,0,40
71.9586,tom,2,40,140,0,40
72.4463,snare,2,40,100,0,40
72.7713,tom,2,40,140,0,40
73.4447,snare,2,40,100,0,40
73.9556,tom,2,255,140,0,255
74.4432,snare,2,40,100,0,40
74.9308,tom,2,40,140,0,40
75.4184,snare,2,40,100,0,40
75.9525,tom,2,40,140,0,40
76.4401,snare,2,40,100,0,40
76.9509,tom,2,40,140,0,40
77.4385,snare,2,40,100,0,40
77.9494,tom,2,40,140,0,40
78.4138,snare,2,40,100,0,40
78.9246,tom,2,40,140,0,40
79.4355,snare,2,40,100,0,40
79.9463,tom,2,40,140,0,40
80.4339,snare,2,40,100,0,40
80.9448,hihat,1,40,60,40,0
81.4324,snare,2,40,100,0,40
81.9432,kick,1,255,120,255,0
82.4541,snare,2,40,100,0,40
82.9417,tom,2,40,140,0,40
83.4293,snare,2,40,100,0,40
83.9401,tom,2,255,140,0,255
84.451,snare,2,40,100,0,40
84.9386,tom,2,40,140,0,40
85.4262,snare,2,40,100,0,40
85.9371,tom,2,40,140,0,40
86.4247,snare,2,40,100,0,40
86.9355,tom,2,40,140,0,40
87.4463,snare,2,40,100,0,40
87.934,snare,2,40,100,0,40
88.6306,snare,2,40,100,0,40
89.4433,snare,2,40,100,0,40
89.9541,tom,2,40,140,0,40
90.4417,snare,2,40,100,0,40
90.9526,tom,2,255,140,0,255
91.4402,snare,2,40,100,0,40
91.951,tom,2,40,140,0,40
92.4386,snare,2,40,100,0,40
92.9495,tom,2,40,140,0,40
93.4371,snare,2,40,100,0,40
93.9479,tom,2,255,140,0,255
94.4356,snare,2,40,100,0,40
94.9464,tom,2,40,140,0,40
95.434,snare,2,40,100,0,40
96.1074,snare,2,40,100,0,40
96.4557,snare,2,40,100,0,40
96.7808,snare,2,40,100,0,40
97.4541,snare,2,40,100,0,40
97.9418,kick,1,40,120,40,0
98.4062,snare,2,40,100,0,40
98.9402,tom,2,40,140,0,40
99.4278,snare,2,40,100,0,40
99.9387,tom,2,40,140,0,40
100.4495,snare,2,40,100,0,40
100.9371,tom,2,40,140,0,40
101.4248,snare,2,40,100,0,40
101.9588,tom,2,40,140,0,40
102.4232,snare,2,255,100,0,255
102.9573,tom,2,40,140,0,40
103.4217,snare,2,255,100,0,255
103.77,snare,2,40,100,0,40
104.6291,kick,1,40,120,40,0
104.9542,hihat,1,40,60,40,0
113.4527,tom,2,40,140,0,40
114.4512,kick,1,40,120,40,0
115.4496,tom,2,40,140,0,40
115.9605,hihat,1,40,60,40,0
116.4481,tom,2,40,140,0,40
117.4465,kick,1,40,120,40,0
118.445,tom,2,40,140,0,40
119.4434,kick,1,40,120,40,0
119.9543,cymbal,1,40,180,40,0
120.4419,snare,2,40,100,0,40
120.9527,tom,2,40,140,0,40
121.4171,snare,2,40,100,0,40
121.9512,cymbal,1,40,180,40,0
122.4388,snare,2,40,100,0,40
122.9497,tom,2,40,140,0,40
123.4373,snare,2,40,100,0,40
123.9481,cymbal,1,40,180,40,0
124.4357,snare,2,40,100,0,40
124.9234,tom,2,40,140,0,40
125.4342,snare,2,40,100,0,40
125.945,tom,2,40,140,0,40
126.4327,snare,2,40,100,0,40
126.9435,tom,2,40,140,0,40
127.4311,snare,2,40,100,0,40
127.942,tom,2,40,140,0,40
128.4528,snare,2,40,100,0,40
128.9404,kick,1,40,120,40,0
129.428,hihat,1,40,60,40,0
129.9389,cymbal,1,40,180,40,0
130.4497,snare,2,40,100,0,40
130.9373,tom,2,40,140,0,40
131.4482,snare,2,40,100,0,40
131.9358,cymbal,1,40,180,40,0
132.2841,kick,1,40,120,40,0
132.9342,tom,2,40,140,0,40
133.4451,hihat,1,40,60,40,0
133.9327,kick,1,40,120,40,0
134.4435,kick,1,40,120,40,0
134.9544,snare,2,40,100,0,40
136.2779,tom,2,40,140,0,40
136.9513,hihat,1,40,60,40,0
137.4389,snare,2,40,100,0,40
137.9498,tom,2,40,140,0,40
138.4374,snare,2,40,100,0,40
138.9482,tom,2,40,140,0,40
139.4126,snare,2,40,100,0,40
139.9467,tom,2,40,140,0,40
140.4343,snare,2,40,100,0,40
140.9451,tom,2,40,140,0,40
141.4327,snare,2,40,100,0,40
141.9436,tom,2,40,140,0,40
142.4312,snare,2,40,100,0,40
142.942,tom,2,40,140,0,40
143.4297,snare,2,40,100,0,40
143.9405,tom,2,40,140,0,40
144.4513,snare,2,40,100,0,40
144.939,hihat,1,40,60,40,0
145.4498,snare,2,40,100,0,40
145.9606,tom,2,40,140,0,40
146.4483,snare,2,40,100,0,40
146.9359,tom,2,40,140,0,40
147.4235,snare,2,40,100,0,40
147.9343,tom,2,255,140,0,255
148.4452,snare,2,40,100,0,40
148.956,tom,2,40,140,0,40
149.4436,snare,2,40,100,0,40
149.9545,tom,2,40,140,0,40
150.4421,snare,2,40,100,0,40
150.9529,tom,2,40,140,0,40
151.4405,snare,2,40,100,0,40
151.9514,tom,2,40,140,0,40
152.439,snare,2,40,100,0,40
152.7873,kick,1,40,120,40,0
153.4375,snare,2,40,100,0,40
153.9483,tom,2,255,140,0,255
154.4359,snare,2,40,100,0,40
154.9468,tom,2,40,140,0,40
155.4344,snare,2,40,100,0,40
155.9452,kick,1,40,120,40,0
156.4328,snare,2,40,100,0,40
156.9437,tom,2,40,140,0,40
157.4313,snare,2,40,100,0,40
157.9421,tom,2,40,140,0,40
158.4298,snare,2,40,100,0,40
158.9406,tom,2,40,140,0,40
159.4514,snare,2,40,100,0,40
159.939,tom,2,40,140,0,40
160.4499,snare,2,40,100,0,40
160.9375,hihat,1,40,60,40,0
161.4483,snare,2,40,100,0,40
161.9592,tom,2,255,140,0,255
162.4468,snare,2,40,100,0,40
162.9344,tom,2,40,140,0,40
163.422,snare,2,40,100,0,40
163.9329,tom,2,40,140,0,40
164.4437,snare,2,40,100,0,40
164.9546,tom,2,40,140,0,40
165.4422,snare,2,40,100,0,40
165.953,tom,2,40,140,0,40
166.4406,snare,2,255,100,0,255
166.9515,tom,2,40,140,0,40
167.4159,snare,2,40,100,0,40
167.9499,snare,2,40,100,0,40
168.6233,snare,2,40,100,0,40
169.436,snare,2,40,100,0,40
169.9468,tom,2,255,140,0,255
170.4345,snare,2,40,100,0,40
170.9453,tom,2,40,140,0,40
171.4329,snare,2,40,100,0,40
171.9438,tom,2,40,140,0,40
172.4546,snare,2,40,100,0,40
172.9422,tom,2,40,140,0,40
173.4298,snare,2,40,100,0,40
173.9175,tom,2,40,140,0,40
174.4515,snare,2,40,100,0,40
174.9391,tom,2,40,140,0,40
175.45,snare,2,40,100,0,40
176.1001,snare,2,40,100,0,40
176.4252,snare,2,40,100,0,40
176.7735,snare,2,40,100,0,40
177.4469,snare,2,40,100,0,40
177.9577,tom,2,40,140,0,40
178.4454,snare,2,40,100,0,40
178.933,tom,2,40,140,0,40
179.4206,snare,2,40,100,0,40
179.9314,tom,2,40,140,0,40
180.4423,snare,2,40,100,0,40
180.9531,kick,1,40,120,40,0
181.4407,cymbal,1,40,180,40,0
181.9516,kick,1,40,120,40,0
182.4392,cymbal,1,40,180,40,0
182.95,kick,1,40,120,40,0
183.4376,snare,2,40,100,0,40
183.9485,snare,2,40,100,0,40
184.2736,cymbal,1,40,180,40,0
184.738,snare,2,40,100,0,40
185.4346,snare,2,40,100,0,40
185.9454,tom,2,40,140,0,40
186.433,snare,2,40,100,0,40
186.9206,tom,2,40,140,0,40
187.4315,snare,2,40,100,0,40
187.9423,kick,1,40,120,40,0
188.4532,snare,2,40,100,0,40
188.9408,tom,2,40,140,0,40
189.4284,snare,2,40,100,0,40
189.916,tom,2,40,140,0,40
190.4268,snare,2,40,100,0,40
190.9377,kick,1,40,120,40,0
191.4253,snare,2,40,100,0,40
192.0987,snare,2,40,100,0,40
192.447,snare,2,40,100,0,40
192.7721,snare,2,40,100,0,40
193.4222,snare,2,40,100,0,40
193.9563,tom,2,40,140,0,40
194.4439,snare,2,40,100,0,40
194.9315,tom,2,40,140,0,40
195.4424,snare,2,40,100,0,40
195.93,tom,2,40,140,0,40
196.4408,snare,2,40,100,0,40
196.9517,hihat,1,40,60,40,0
197.4393,snare,2,40,100,0,40
198.2752,kick,1,40,120,40,0
198.9486,cymbal,1,40,180,40,0
212.927,tom,2,40,140,0,40
213.4378,snare,2,40,100,0,40
213.9487,snare,2,40,100,0,40
214.2737,snare,2,40,100,0,40
214.622,kick,1,40,120,40,0
214.9239,snare,2,40,100,0,40
216.4332,snare,2,40,100,0,40
216.8744,tom,2,40,140,0,40
217.4549,snare,2,40,100,0,40
217.9425,tom,2,40,140,0,40
218.4533,snare,2,40,100,0,40
218.941,tom,2,40,140,0,40
219.4286,snare,2,40,100,0,40
219.9394,kick,1,40,120,40,0
220.4502,snare,2,40,100,0,40
220.9379,tom,2,40,140,0,40
221.4487,snare,2,40,100,0,40
221.9363,tom,2,40,140,0,40
222.4472,snare,2,40,100,0,40
222.9348,tom,2,40,140,0,40
223.4456,snare,2,40,100,0,40
223.9332,tom,2,40,140,0,40
224.4441,snare,2,40,100,0,40
224.9317,hihat,1,40,60,40,0
225.4425,snare,2,40,100,0,40
225.9534,kick,1,255,120,255,0
226.441,snare,2,40,100,0,40
226.9518,tom,2,40,140,0,40
227.4395,snare,2,40,100,0,40
227.9271,tom,2,40,140,0,40
228.4379,snare,2,40,100,0,40
228.9488,tom,2,40,140,0,40
229.4364,snare,2,40,100,0,40
229.9472,tom,2,40,140,0,40
230.4348,snare,2,40,100,0,40
230.9457,kick,1,40,120,40,0
231.4333,snare,2,40,100,0,40
231.9441,tom,2,40,140,0,40
232.455,snare,2,40,100,0,40
232.78,tom,2,40,140,0,40
233.4534,snare,2,40,100,0,40
233.941,tom,2,40,140,0,40
234.4287,snare,2,40,100,0,40
234.9395,tom,2,40,140,0,40
235.4271,snare,2,40,100,0,40
235.938,kick,1,40,120,40,0
236.4488,snare,2,40,100,0,40
236.9364,tom,2,40,140,0,40
237.4473,snare,2,40,100,0,40
237.9349,tom,2,40,140,0,40
238.4225,snare,2,40,100,0,40
238.9333,tom,2,40,140,0,40
239.4442,snare,2,40,100,0,40
239.9318,tom,2,40,140,0,40
240.4426,snare,2,40,100,0,40
240.9302,snare,2,40,100,0,40
241.4411,snare,2,40,100,0,40
241.9287,kick,1,40,120,40,0
242.4395,snare,2,40,100,0,40
242.9504,tom,2,40,140,0,40
243.438,snare,2,40,100,0,40
243.9488,tom,2,40,140,0,40
244.4365,snare,2,40,100,0,40
244.9473,tom,2,40,140,0,40
245.4349,snare,2,40,100,0,40
245.9458,tom,2,40,140,0,40
246.4334,snare,2,40,100,0,40
246.9442,tom,2,40,140,0,40
247.4318,snare,2,40,100,0,40
247.9195,snare,2,40,100,0,40
248.291,tom,2,40,140,0,40
248.9411,hihat,1,40,60,40,0
